epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.30554,2.44441,3.22256,3.03782,0.09434,0.06384,0.05896,0.03166,1.81542,3.65739,2.45751,8.88889e-06,8.88889e-06,8.88889e-06
2,9.54838,2.54276,3.20666,3.05281,0.1139,0.08101,0.06741,0.03357,1.81086,3.65442,2.45071,1.88889e-05,1.88889e-05,1.88889e-05
3,14.7843,2.51662,3.23901,3.04424,0.13511,0.13986,0.08701,0.04859,1.81188,3.56943,2.46773,2.88889e-05,2.88889e-05,2.88889e-05
4,19.9868,2.45868,3.13284,2.94388,0.15189,0.17349,0.10522,0.0598,1.79226,3.45183,2.45597,3.88889e-05,3.88889e-05,3.88889e-05
5,25.2143,2.40424,3.08926,2.93542,0.13376,0.16423,0.11299,0.06308,1.77973,3.37384,2.42922,4.88889e-05,4.88889e-05,4.88889e-05
6,30.4168,2.40182,3.1692,2.95097,0.1391,0.16423,0.10454,0.05719,1.77139,3.35301,2.44201,5.88889e-05,5.88889e-05,5.88889e-05
7,35.3103,2.28857,3.04327,2.87357,0.15494,0.18226,0.13319,0.0628,1.83435,3.30997,2.49267,6.88889e-05,6.88889e-05,6.88889e-05
8,40.574,2.3466,3.11579,2.90797,0.193,0.22758,0.15814,0.07226,1.83384,3.27561,2.49238,7.88889e-05,7.88889e-05,7.88889e-05
9,45.7923,2.2761,3.10058,2.82957,0.24404,0.22981,0.16848,0.07943,1.86082,3.23137,2.51586,8.88889e-05,8.88889e-05,8.88889e-05
10,51.0124,2.24993,2.98075,2.76245,0.28645,0.23684,0.19504,0.09579,1.84184,3.12506,2.49806,9.88889e-05,9.88889e-05,9.88889e-05
11,56.5487,2.22578,2.97221,2.78801,0.28532,0.26316,0.21377,0.10341,1.85475,3.07664,2.51495,0.000108889,0.000108889,0.000108889
12,61.7604,2.13557,2.95719,2.72419,0.30031,0.26009,0.21747,0.11272,1.86352,3.00421,2.52058,0.000118889,0.000118889,0.000118889
13,66.9672,2.17493,2.90063,2.72496,0.30935,0.27144,0.23863,0.1181,1.86132,2.96911,2.51561,0.000128889,0.000128889,0.000128889
14,72.1711,2.1031,2.91935,2.62551,0.30117,0.29727,0.24313,0.12621,1.86736,2.90011,2.51788,0.000138889,0.000138889,0.000138889
15,77.5701,2.14611,2.85099,2.68611,0.30553,0.31173,0.25565,0.12671,1.89096,2.9204,2.516,0.000148889,0.000148889,0.000148889
16,82.8042,2.15408,2.79667,2.6853,0.33653,0.34684,0.2898,0.13883,1.84933,2.91124,2.49226,0.000158889,0.000158889,0.000158889
17,87.989,2.0869,2.73845,2.63142,0.32873,0.38541,0.3199,0.14703,1.84638,2.90569,2.48429,0.000168889,0.000168889,0.000168889
18,93.2489,2.1045,2.79331,2.60424,0.3559,0.40144,0.29251,0.14696,1.82466,2.90269,2.46693,0.000178889,0.000178889,0.000178889
19,98.0547,2.15518,2.76722,2.61498,0.38617,0.43042,0.3447,0.16084,1.82346,2.8289,2.46562,0.000188889,0.000188889,0.000188889
20,103.222,1.99443,2.63417,2.51841,0.42214,0.41474,0.36073,0.16439,1.83448,2.77582,2.47455,0.000198889,0.000198889,0.000198889
21,108.449,2.01822,2.63593,2.51364,0.45628,0.37034,0.35848,0.16794,1.8358,2.75227,2.46347,0.000208889,0.000208889,0.000208889
22,113.616,2.01399,2.62181,2.50879,0.46122,0.39283,0.35671,0.16784,1.8338,2.74899,2.46204,0.000218889,0.000218889,0.000218889
23,118.576,2.07184,2.60168,2.52248,0.41125,0.45386,0.35812,0.17637,1.83834,2.66288,2.47053,0.000228889,0.000228889,0.000228889
24,123.789,2.02823,2.54112,2.50148,0.39587,0.47503,0.34518,0.17147,1.86682,2.65345,2.48557,0.000238889,0.000238889,0.000238889
25,128.563,1.95178,2.55175,2.45261,0.41722,0.40781,0.34145,0.17009,1.85834,2.61666,2.47025,0.000248889,0.000248889,0.000248889
26,133.331,2.08893,2.68657,2.52722,0.41922,0.37747,0.3421,0.17124,1.87069,2.54754,2.4961,0.000258889,0.000258889,0.000258889
27,138.278,1.96395,2.57145,2.46433,0.48103,0.39703,0.35999,0.17681,1.85374,2.47351,2.48938,0.000268889,0.000268889,0.000268889
28,143.467,2.06318,2.60382,2.52398,0.48089,0.37475,0.35632,0.17477,1.88701,2.44838,2.51695,0.000278889,0.000278889,0.000278889
29,148.268,2.05106,2.58737,2.49283,0.49109,0.42291,0.35262,0.1677,1.91141,2.46012,2.54007,0.000288889,0.000288889,0.000288889
30,153.072,1.98305,2.4886,2.41328,0.44148,0.40982,0.35247,0.16315,1.96502,2.41304,2.5863,0.000298889,0.000298889,0.000298889
31,157.875,1.98782,2.52321,2.46454,0.45384,0.42071,0.3451,0.16726,1.94868,2.41712,2.5511,0.000308889,0.000308889,0.000308889
32,162.671,2.02126,2.55054,2.45437,0.44745,0.45057,0.3631,0.1739,1.95432,2.34642,2.54421,0.000318889,0.000318889,0.000318889
33,167.429,1.89546,2.45628,2.35443,0.49269,0.47118,0.39155,0.1928,1.94253,2.32684,2.53469,0.000328889,0.000328889,0.000328889
34,172.622,1.9056,2.38265,2.34133,0.56965,0.43976,0.41252,0.19913,1.93166,2.29783,2.5153,0.000338889,0.000338889,0.000338889
35,177.783,1.8566,2.42281,2.34885,0.53735,0.42555,0.4128,0.19118,1.90982,2.23785,2.50492,0.000348889,0.000348889,0.000348889
36,182.598,1.88745,2.44712,2.35904,0.55063,0.44256,0.41233,0.20653,1.89681,2.18382,2.48815,0.000358889,0.000358889,0.000358889
37,187.762,1.83652,2.33349,2.31683,0.60128,0.42633,0.42883,0.20437,1.90146,2.13733,2.47252,0.000368889,0.000368889,0.000368889
38,192.549,1.86661,2.36839,2.36444,0.60467,0.40757,0.42659,0.21416,1.89893,2.15,2.45017,0.000378889,0.000378889,0.000378889
39,197.737,1.80135,2.30648,2.29786,0.58088,0.41756,0.42711,0.20258,1.92973,2.11126,2.46669,0.000388889,0.000388889,0.000388889
40,202.498,1.86655,2.3985,2.3329,0.60867,0.4393,0.4583,0.22045,1.92009,2.02817,2.47512,0.000398889,0.000398889,0.000398889
41,208.072,1.82049,2.35168,2.30663,0.70642,0.45769,0.47929,0.22112,1.95104,2.01421,2.50411,0.000408889,0.000408889,0.000408889
42,213.254,1.84397,2.35755,2.33998,0.66768,0.4636,0.48009,0.22535,2.00291,2.00595,2.56485,0.000418889,0.000418889,0.000418889
43,218.504,1.79907,2.28313,2.2939,0.62255,0.47133,0.4733,0.23088,1.97926,2.00602,2.5266,0.000428889,0.000428889,0.000428889
44,223.689,1.82768,2.31266,2.28394,0.66954,0.52341,0.54907,0.25462,1.90367,1.98352,2.44713,0.000438889,0.000438889,0.000438889
45,228.953,1.78751,2.29961,2.27552,0.6729,0.50239,0.51492,0.23529,1.98477,1.93157,2.52947,0.000448889,0.000448889,0.000448889
46,233.744,1.86057,2.3002,2.31442,0.66395,0.48913,0.50932,0.2373,1.94425,1.94977,2.49349,0.000458889,0.000458889,0.000458889
47,238.467,1.79742,2.27572,2.26899,0.62629,0.53578,0.51703,0.2371,2.00212,1.88847,2.55706,0.000468889,0.000468889,0.000468889
48,243.25,1.78253,2.28154,2.27655,0.74156,0.53469,0.53846,0.25382,1.97819,1.81179,2.51494,0.000478889,0.000478889,0.000478889
49,248.024,1.79987,2.19505,2.26799,0.66173,0.56045,0.56758,0.27222,1.95412,1.80019,2.45785,0.000488889,0.000488889,0.000488889
50,253.203,1.83813,2.23105,2.28137,0.74608,0.53174,0.59386,0.27422,1.93732,1.82339,2.4272,0.000498889,0.000498889,0.000498889
51,258.417,1.76966,2.23551,2.23545,0.63885,0.58974,0.59174,0.27004,1.97923,1.84643,2.44162,0.000508889,0.000508889,0.000508889
52,263.201,1.73627,2.19298,2.20554,0.68426,0.55682,0.60455,0.2734,1.94405,1.78474,2.41262,0.000518889,0.000518889,0.000518889
53,268.393,1.76556,2.13058,2.22044,0.64833,0.61624,0.61694,0.28489,1.9431,1.70357,2.4085,0.000528889,0.000528889,0.000528889
54,273.644,1.72726,2.05211,2.22182,0.65862,0.60143,0.63009,0.30235,1.90115,1.71873,2.36645,0.000538889,0.000538889,0.000538889
55,279.231,1.77227,2.22349,2.25531,0.65385,0.58409,0.58633,0.263,2.02173,1.69218,2.49034,0.000548888,0.000548888,0.000548888
56,283.989,1.68191,2.06989,2.197,0.64044,0.58898,0.60556,0.28096,1.98859,1.64631,2.47662,0.000558888,0.000558888,0.000558888
57,288.77,1.68312,2.10505,2.1864,0.73906,0.54466,0.62721,0.28973,1.98571,1.58278,2.46282,0.000568888,0.000568888,0.000568888
58,293.543,1.67609,2.02038,2.1516,0.75353,0.62957,0.66671,0.30335,2.00848,1.58141,2.45093,0.000578888,0.000578888,0.000578888
59,298.762,1.74027,2.1593,2.24225,0.73341,0.63415,0.67094,0.30578,1.9992,1.58482,2.45854,0.000588888,0.000588888,0.000588888
60,303.953,1.69893,2.00903,2.18326,0.7302,0.61424,0.66005,0.30606,1.92828,1.59883,2.39952,0.000598888,0.000598888,0.000598888
61,308.72,1.62972,2.04922,2.16345,0.71051,0.64557,0.67199,0.29675,1.96544,1.57606,2.43193,0.000608888,0.000608888,0.000608888
62,313.528,1.64241,1.91982,2.13556,0.68226,0.68001,0.67144,0.31968,1.94008,1.60546,2.42697,0.000618888,0.000618888,0.000618888
63,318.732,1.63449,1.93487,2.1287,0.72068,0.67562,0.69052,0.33817,1.82449,1.57596,2.32017,0.000628888,0.000628888,0.000628888
64,323.91,1.62299,1.92255,2.13796,0.68648,0.66666,0.67643,0.31981,1.96778,1.48186,2.43313,0.000638888,0.000638888,0.000638888
65,328.691,1.62274,1.89983,2.12107,0.72397,0.62043,0.67736,0.31345,1.99024,1.44293,2.41934,0.000648888,0.000648888,0.000648888
66,333.486,1.63243,1.87093,2.1195,0.73118,0.66411,0.69063,0.31705,1.94381,1.43777,2.39347,0.000658888,0.000658888,0.000658888
67,338.371,1.68076,1.95988,2.18382,0.68807,0.6516,0.68119,0.30051,2.00438,1.50348,2.46221,0.000668888,0.000668888,0.000668888
68,343.167,1.57845,1.87698,2.09067,0.65374,0.6434,0.67587,0.31876,1.90078,1.47796,2.35556,0.000678888,0.000678888,0.000678888
69,348.088,1.69073,1.97731,2.16494,0.64003,0.67525,0.68794,0.32286,1.94838,1.47765,2.39665,0.000688888,0.000688888,0.000688888
70,352.866,1.66166,1.87411,2.13449,0.83668,0.63451,0.70627,0.3247,1.92551,1.42216,2.37754,0.000698888,0.000698888,0.000698888
71,357.632,1.66401,1.93649,2.15485,0.71393,0.69149,0.70232,0.30912,1.92446,1.42688,2.39206,0.000708888,0.000708888,0.000708888
72,362.417,1.62229,1.89197,2.11759,0.74086,0.65318,0.69553,0.30396,1.97562,1.35553,2.43967,0.000718888,0.000718888,0.000718888
73,367.145,1.60189,1.84968,2.09618,0.74851,0.68159,0.71397,0.31138,2.00643,1.38077,2.48719,0.000728888,0.000728888,0.000728888
74,371.903,1.67315,1.95237,2.12841,0.73003,0.66779,0.71819,0.34603,1.91652,1.43746,2.37441,0.000738888,0.000738888,0.000738888
75,377.112,1.58946,1.8396,2.08918,0.73851,0.67809,0.71109,0.33135,1.99685,1.37793,2.43158,0.000748888,0.000748888,0.000748888
76,381.897,1.59616,1.84903,2.08684,0.73455,0.66527,0.7028,0.3172,1.97206,1.43763,2.40465,0.000758888,0.000758888,0.000758888
77,386.752,1.56908,1.80433,2.08669,0.77036,0.66949,0.73093,0.34531,1.9247,1.34505,2.33142,0.000768888,0.000768888,0.000768888
78,391.956,1.58556,1.76592,2.07704,0.76304,0.71452,0.76591,0.35997,1.91699,1.28197,2.35129,0.000778888,0.000778888,0.000778888
79,397.147,1.56742,1.82744,2.06504,0.8449,0.66976,0.75786,0.38293,1.854,1.2188,2.26703,0.000788888,0.000788888,0.000788888
80,402.35,1.64583,1.87211,2.12679,0.79681,0.64169,0.74648,0.34946,1.95507,1.27243,2.38915,0.000798888,0.000798888,0.000798888
81,407.134,1.59737,1.72123,2.04172,0.75696,0.66324,0.74418,0.34217,1.93312,1.28484,2.33706,0.000808888,0.000808888,0.000808888
82,411.898,1.6074,1.7487,2.08624,0.7422,0.71099,0.74482,0.35535,1.87061,1.27957,2.28367,0.000818888,0.000818888,0.000818888
83,416.663,1.56791,1.75282,2.04112,0.76823,0.70777,0.73577,0.33988,1.98028,1.16822,2.38273,0.000828888,0.000828888,0.000828888
84,421.428,1.59693,1.80418,2.09217,0.77159,0.7213,0.75427,0.36266,1.89174,1.16542,2.30292,0.000838887,0.000838887,0.000838887
85,426.207,1.57528,1.7066,2.03308,0.80641,0.66495,0.74928,0.34075,1.95626,1.18264,2.37374,0.000848887,0.000848887,0.000848887
86,431.165,1.4961,1.62681,2.02589,0.79879,0.69151,0.77616,0.35572,1.87281,1.20087,2.32251,0.000858887,0.000858887,0.000858887
87,435.935,1.50974,1.639,2.0332,0.70214,0.66317,0.70904,0.33369,1.90787,1.33884,2.37068,0.000868887,0.000868887,0.000868887
88,440.716,1.52016,1.72899,2.06879,0.65336,0.74128,0.73293,0.35674,1.85386,1.2699,2.30248,0.000878887,0.000878887,0.000878887
89,445.455,1.55824,1.67801,2.03494,0.79227,0.67324,0.72447,0.36608,1.92871,1.24661,2.41406,0.000888887,0.000888887,0.000888887
90,450.235,1.56355,1.72683,2.01652,0.74796,0.73839,0.73958,0.35866,1.90671,1.27265,2.37888,0.000898887,0.000898887,0.000898887
91,454.986,1.58205,1.67552,2.06143,0.72002,0.67642,0.73346,0.34771,1.90298,1.27459,2.33761,0.000908887,0.000908887,0.000908887
92,459.765,1.54694,1.68152,2.01091,0.81821,0.64946,0.74978,0.37533,1.83804,1.19411,2.30635,0.000918887,0.000918887,0.000918887
93,464.474,1.57009,1.62065,2.02781,0.83223,0.65368,0.76347,0.35175,1.96324,1.15703,2.40165,0.000928887,0.000928887,0.000928887
94,469.258,1.53296,1.63667,2.04201,0.79059,0.67927,0.75715,0.36805,1.909,1.2407,2.36829,0.000938887,0.000938887,0.000938887
95,474.014,1.57416,1.68353,2.0529,0.77578,0.64785,0.7506,0.36653,1.91964,1.2458,2.32837,0.000948887,0.000948887,0.000948887
96,479.017,1.52376,1.66985,2.01598,0.81723,0.62671,0.7456,0.35389,1.9679,1.20778,2.36976,0.000958887,0.000958887,0.000958887
97,483.795,1.49122,1.65813,1.99413,0.73356,0.63096,0.73123,0.35765,1.90945,1.25565,2.29173,0.000968887,0.000968887,0.000968887
98,488.614,1.51832,1.58843,2.02836,0.85829,0.68891,0.77531,0.35603,1.97903,1.20523,2.38997,0.000978887,0.000978887,0.000978887
99,493.489,1.48184,1.57666,1.97615,0.79746,0.70478,0.77884,0.37264,1.91512,1.15045,2.33596,0.000988887,0.000988887,0.000988887
100,498.282,1.47979,1.62077,2.01285,0.71662,0.74858,0.77814,0.38225,1.82961,1.17675,2.24225,0.000998886,0.000998886,0.000998886
101,503.459,1.50257,1.68796,2.03402,0.78618,0.63305,0.74088,0.3413,1.96831,1.23801,2.33831,0.00100889,0.00100889,0.00100889
102,508.227,1.53664,1.65734,2.01622,0.8119,0.65167,0.74784,0.36171,1.83411,1.16966,2.26798,0.00101889,0.00101889,0.00101889
103,512.993,1.52133,1.67571,2.01392,0.84392,0.67944,0.78717,0.37279,1.89029,1.11793,2.32964,0.00102889,0.00102889,0.00102889
104,517.763,1.60602,1.69715,2.09851,0.73963,0.69716,0.7622,0.37227,1.87875,1.14896,2.29653,0.00103889,0.00103889,0.00103889
105,522.533,1.53419,1.61809,2.03581,0.73937,0.70165,0.73775,0.38058,1.8135,1.27068,2.21562,0.00104889,0.00104889,0.00104889
106,527.306,1.51154,1.57464,1.98568,0.82581,0.66544,0.74505,0.38171,1.81454,1.23235,2.25933,0.00105889,0.00105889,0.00105889
107,532.08,1.49884,1.57131,2.0007,0.77076,0.66092,0.73587,0.37741,1.77135,1.25394,2.20634,0.00106889,0.00106889,0.00106889
108,536.857,1.52382,1.66222,1.98624,0.79027,0.7157,0.73981,0.346,1.90341,1.1428,2.32719,0.00107889,0.00107889,0.00107889
109,541.638,1.52543,1.61964,2.00787,0.83522,0.64026,0.74058,0.35724,1.86674,1.18897,2.28368,0.00108889,0.00108889,0.00108889
110,546.449,1.54868,1.58215,2.01691,0.84394,0.65171,0.73935,0.36515,1.80423,1.23041,2.2489,0.00109889,0.00109889,0.00109889
111,551.254,1.49242,1.53897,1.98668,0.78612,0.68201,0.74134,0.37305,1.82623,1.16902,2.24246,0.00110889,0.00110889,0.00110889
112,556.004,1.47113,1.55458,1.95586,0.80891,0.66368,0.7261,0.3811,1.76448,1.20348,2.21473,0.00111889,0.00111889,0.00111889
113,560.827,1.50449,1.52542,2.00404,0.68867,0.64921,0.71711,0.36156,1.73952,1.2596,2.20176,0.00112889,0.00112889,0.00112889
114,565.623,1.44508,1.46914,1.92243,0.74219,0.70053,0.73972,0.36156,1.82497,1.25621,2.27349,0.00113889,0.00113889,0.00113889
115,570.409,1.46671,1.59613,1.96781,0.77856,0.72189,0.76027,0.37987,1.75123,1.24067,2.22941,0.00114889,0.00114889,0.00114889
116,575.424,1.46262,1.51231,1.95139,0.83844,0.67999,0.77709,0.37285,1.79391,1.18179,2.2806,0.00115889,0.00115889,0.00115889
117,580.213,1.52295,1.55653,1.99648,0.7787,0.6593,0.74778,0.38664,1.73676,1.20228,2.22274,0.00116889,0.00116889,0.00116889
118,585.369,1.44546,1.47661,1.93563,0.84726,0.71099,0.7818,0.38084,1.81234,1.18193,2.2598,0.00117888,0.00117888,0.00117888
119,590.143,1.42828,1.4057,1.92163,0.83959,0.68451,0.7746,0.38291,1.76195,1.20758,2.21437,0.00118888,0.00118888,0.00118888
120,595.101,1.44765,1.50968,1.91157,0.89857,0.70113,0.77204,0.38856,1.77321,1.05052,2.20001,0.00119888,0.00119888,0.00119888
121,600.316,1.46031,1.57943,1.97236,0.79707,0.71703,0.77167,0.39684,1.74676,1.10126,2.15219,0.00120888,0.00120888,0.00120888
122,605.51,1.49588,1.56597,2.00421,0.85599,0.68652,0.78331,0.41961,1.6611,1.04192,2.13219,0.00121888,0.00121888,0.00121888
123,610.719,1.47352,1.52395,1.95756,0.85218,0.72242,0.75531,0.41485,1.61634,1.20027,2.06841,0.00122888,0.00122888,0.00122888
124,615.708,1.54118,1.59917,2.00305,0.81548,0.66866,0.73365,0.40815,1.64235,1.23245,2.09778,0.00123888,0.00123888,0.00123888
125,620.495,1.47286,1.48633,1.96541,0.7897,0.74212,0.77958,0.37581,1.74244,1.16198,2.16489,0.00124888,0.00124888,0.00124888
126,625.265,1.47486,1.47014,1.96447,0.75244,0.72137,0.76249,0.39753,1.64746,1.21984,2.07023,0.00125888,0.00125888,0.00125888
127,630.101,1.53991,1.53335,1.98218,0.8584,0.69983,0.79993,0.42696,1.61066,1.12253,2.07712,0.00126888,0.00126888,0.00126888
128,635.279,1.53215,1.61437,1.9589,0.80648,0.75559,0.79707,0.4189,1.60843,1.11882,2.08526,0.00127888,0.00127888,0.00127888
129,640.043,1.45041,1.4699,1.94701,0.79557,0.72952,0.77544,0.43355,1.63339,1.08402,2.12362,0.00128888,0.00128888,0.00128888
130,645.238,1.41106,1.41669,1.92131,0.82684,0.69785,0.79522,0.4154,1.66271,1.01522,2.12652,0.00129888,0.00129888,0.00129888
131,650.008,1.51842,1.50281,1.99033,0.81873,0.7194,0.76842,0.40068,1.73855,1.01987,2.20955,0.00130888,0.00130888,0.00130888
132,654.79,1.42631,1.38995,1.93862,0.81557,0.66451,0.74808,0.40829,1.62662,1.16838,2.10425,0.00131888,0.00131888,0.00131888
133,659.529,1.44061,1.39587,1.89877,0.77538,0.68542,0.78459,0.42573,1.53462,1.14233,2.01312,0.00132888,0.00132888,0.00132888
134,664.277,1.39423,1.38682,1.8909,0.7716,0.76356,0.7976,0.42023,1.63482,1.0985,2.09473,0.00133888,0.00133888,0.00133888
135,669.013,1.52686,1.5226,1.92699,0.90621,0.71551,0.81022,0.43289,1.56008,1.05759,2.01394,0.00134888,0.00134888,0.00134888
136,674.209,1.46483,1.45192,1.93128,0.78275,0.71356,0.77644,0.43467,1.61529,1.14039,2.09398,0.00135888,0.00135888,0.00135888
137,679.025,1.44302,1.40167,1.9076,0.82494,0.6887,0.80623,0.43749,1.65018,1.10885,2.09596,0.00136888,0.00136888,0.00136888
138,684.198,1.42306,1.3979,1.89001,0.81126,0.73049,0.80079,0.41914,1.59597,1.12447,2.03977,0.00137888,0.00137888,0.00137888
139,688.989,1.40671,1.37081,1.88538,0.83111,0.68942,0.7697,0.43616,1.55436,1.08541,2.03684,0.00138888,0.00138888,0.00138888
140,693.738,1.475,1.46256,1.96246,0.85133,0.71505,0.78516,0.42463,1.62324,1.04869,2.08695,0.00139888,0.00139888,0.00139888
141,698.472,1.43565,1.4747,1.96229,0.76144,0.72223,0.76751,0.42857,1.55304,1.0954,2.00397,0.00140888,0.00140888,0.00140888
142,703.212,1.41522,1.35345,1.90787,0.76602,0.75788,0.78797,0.44302,1.55125,1.13314,2.02349,0.00141888,0.00141888,0.00141888
143,708.407,1.43853,1.39703,1.9106,0.83723,0.77081,0.83417,0.43359,1.64967,1.07557,2.09919,0.00142888,0.00142888,0.00142888
144,713.152,1.42166,1.38532,1.93406,0.797,0.71639,0.77757,0.42058,1.58994,1.19917,2.10245,0.00143888,0.00143888,0.00143888
145,717.951,1.51082,1.40547,1.97599,0.77685,0.73259,0.77754,0.43011,1.61737,1.13864,2.09736,0.00144888,0.00144888,0.00144888
146,722.744,1.46445,1.494,1.94054,0.81453,0.69747,0.76991,0.41884,1.58755,1.23379,2.07678,0.00145888,0.00145888,0.00145888
147,727.503,1.49879,1.47119,1.97167,0.77266,0.6986,0.78372,0.42157,1.61168,1.23981,2.06462,0.00146888,0.00146888,0.00146888
148,732.244,1.38177,1.34211,1.89412,0.78519,0.63662,0.74873,0.38351,1.69057,1.2236,2.11323,0.00147888,0.00147888,0.00147888
149,736.977,1.48585,1.43815,1.96165,0.89781,0.71707,0.8088,0.45237,1.58393,1.111,2.06539,0.00148888,0.00148888,0.00148888
150,742.181,1.46504,1.42342,1.93649,0.79268,0.74545,0.79424,0.43702,1.57712,1.1608,2.04236,0.00149888,0.00149888,0.00149888
151,747.095,1.46901,1.43731,1.94133,0.88249,0.67031,0.78933,0.40524,1.60896,1.164,2.10193,0.00150888,0.00150888,0.00150888
152,751.838,1.37439,1.3217,1.85501,0.80767,0.71053,0.80988,0.43868,1.60795,1.05107,2.10129,0.00151888,0.00151888,0.00151888
153,756.61,1.43226,1.39183,1.92448,0.79945,0.73304,0.77845,0.42836,1.54552,1.09204,2.0186,0.00152888,0.00152888,0.00152888
